timestamp,X1,A,X2,chiamate,p0,p_cappuccio,z,significativo
4492065,32,42,32,2,0.00245266506661258,0.008863162188024534,2.8245719064113763,0.0023671911919506128
4492203,13,47,13,4,0.0040226711888852575,0.006965033648642289,0.7567233133297754,0.22460782230333431
4492959,28,45,28,2,0.0019230697000086386,0.0053492713382590545,1.5582195559846288,0.05959060535691629
4493113,13,47,13,2,0.0040226711888852575,0.006965033648642289,0.7567233133297754,0.22460782230333431
4494215,36,43,36,12,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4494580,41,43,41,4,0.0013371344007872571,0.028095439785401667,29.35415360935844,0.0
4494643,36,43,36,10,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4495292,41,43,41,2,0.0013371344007872571,0.028095439785401667,29.35415360935844,0.0
4495377,41,47,41,2,0.0007925150521519976,0.01932639967371013,25.83771871646964,0.0
4495816,36,43,36,8,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4496209,38,45,38,4,0.0008789029488320732,0.021538268467535728,27.808178584781693,0.0
4496596,40,46,40,4,0.0014197663019595028,0.0233265879178628,22.89840150659125,0.0
4497172,41,47,41,2,0.0007925150521519976,0.01932639967371013,25.83771871646964,0.0
4497192,37,44,37,4,0.001998189610165226,0.03760176949503506,32.76607943651009,0.0
4497262,28,45,28,4,0.0019230697000086386,0.0053492713382590545,1.5582195559846288,0.05959060535691629
4497763,38,45,38,2,0.0008789029488320732,0.021538268467535728,27.808178584781693,0.0
4497886,36,43,36,6,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4498472,28,45,28,2,0.0019230697000086386,0.0053492713382590545,1.5582195559846288,0.05959060535691629
4498684,40,46,40,4,0.0014197663019595028,0.0233265879178628,22.89840150659125,0.0
4498968,38,47,38,2,0.0007850030611363389,0.01954601785182048,26.29616997121932,0.0
4499029,19,47,19,6,0.0016901979785232176,0.0021961817811034247,0.12379293074719094,0.4507396146030429
4499449,22,43,22,2,0.0014911302166082606,0.002070685679326086,0.1596615997585607,0.4365738258630365
